departamento,year,spi3_mean,spi3_median,spi3_min,spi3_max,spi3_std,n_sequia_e9,n_exceso_e9,spi3_floracion,spi3_desarrollo,spi3_cosecha,spi3_mean_lag1,spi3_min_lag1,spi3_median_lag1,n_sequia_e9_lag1,n_exceso_e9_lag1,spi3_floracion_lag1,spi3_desarrollo_lag1,spi3_cosecha_lag1
Narino,2024,0.7666220670969265,1.1298428237838625,-0.6799476537107653,1.7928521488024547,0.8549170817857809,0,7,1.4792374394314813,0.6629893970859102,0.1576393647733878,1.0484624207880262,0.05220096735314873,1.230591415386801,0.0,7.0,1.3755636665504993,0.8670110182628967,0.902812577550683
Quindio,2000,-1.1485860800464824,-0.9276611162409388,-2.1948145574283475,-0.4674534319687882,0.5753653867144392,6,0,-1.3645722534038047,-0.8139519824006447,-1.2672340043349979,,,,,,,,
Quindio,2001,-0.9380954010005068,-0.7937310859917528,-2.5533441507739547,0.039854474327998456,0.7449673802300624,5,0,-1.3705200370323316,-0.8778997219377398,-0.5658664440314491,-1.1485860800464824,-2.1948145574283475,-0.9276611162409388,6.0,0.0,-1.3645722534038047,-0.8139519824006447,-1.2672340043349979
Quindio,2002,0.03393813975580451,0.27635569837678,-1.3134954548051514,0.9496976512235138,0.692647059271904,2,0,-0.1342076948383631,0.35908342870826837,-0.12306131460249167,-0.9380954010005068,-2.5533441507739547,-0.7937310859917528,5.0,0.0,-1.3705200370323316,-0.8778997219377398,-0.5658664440314491
Quindio,2003,-0.5860628013549412,-0.7068995138758352,-1.240211961896386,0.2760557200675939,0.597322683355377,6,0,-0.47119985445153223,-0.8124539296365505,-0.47453461997674085,0.03393813975580451,-1.3134954548051514,0.27635569837678,2.0,0.0,-0.1342076948383631,0.35908342870826837,-0.12306131460249167
Quindio,2004,-0.6293152162580844,-0.3949310145418275,-2.2272457678782573,0.5987089344901821,0.8994159281445243,4,0,-1.0419217813509951,-0.4985377059136369,-0.34748616150962097,-0.5860628013549412,-1.240211961896386,-0.7068995138758352,6.0,0.0,-0.47119985445153223,-0.8124539296365505,-0.47453461997674085
Quindio,2005,-0.2236174238748735,-0.07743612702687243,-1.6059810267003694,1.1168218919824802,0.8182682642964033,3,1,-0.9682327802888244,-0.3053973408634847,0.6027778495276886,-0.6293152162580844,-2.2272457678782573,-0.3949310145418275,4.0,0.0,-1.0419217813509951,-0.4985377059136369,-0.34748616150962097
Quindio,2006,-0.2980059420773368,-0.2359318371078154,-1.2827276515734118,0.6600613191518995,0.6614862058584114,4,0,-0.5155780408920978,-0.3970510463032611,0.018611260963348253,-0.2236174238748735,-1.6059810267003694,-0.07743612702687243,3.0,1.0,-0.9682327802888244,-0.3053973408634847,0.6027778495276886
Quindio,2007,-0.115355562607738,0.2087811551086592,-1.4033359260532856,1.3127063263979892,0.8641373927366427,2,2,-0.3126385750314557,-0.015370044561726026,-0.018058068230032337,-0.2980059420773368,-1.2827276515734118,-0.2359318371078154,4.0,0.0,-0.5155780408920978,-0.3970510463032611,0.018611260963348253
Quindio,2008,-0.15418481430270453,-0.039065487000882436,-1.3706651024040135,0.7479108529742543,0.6201528596667897,2,0,-0.6500373761281792,0.2892425873498655,-0.10175965412979991,-0.115355562607738,-1.4033359260532856,0.2087811551086592,2.0,2.0,-0.3126385750314557,-0.015370044561726026,-0.018058068230032337
